z,P(Z≤z)_empirica,P(Z≤z)_teorica,error_absoluto
-3.1600000000000157,0.000743,0.0007888456943755304,4.584569437553047e-05
-3.150000000000016,0.000776,0.000816352312828517,4.0352312828517006e-05
-3.140000000000016,0.000808,0.0008447391734585819,3.673917345858185e-05
-3.1300000000000163,0.000837,0.0008740315156315184,3.703151563151847e-05
-3.1200000000000165,0.000863,0.0009042551998222888,4.125519982228873e-05
-3.1100000000000168,0.000895,0.0009354367195140462,4.043671951404625e-05
-3.100000000000017,0.000929,0.0009676032132183009,3.860321321830088e-05
-3.090000000000017,0.00096,0.0010007824766139514,4.078247661395138e-05
-3.0800000000000174,0.000995,0.0010350029748027805,4.0002974802780516e-05
-3.0700000000000176,0.001029,0.0010702938546788604,4.1293854678860426e-05
-3.060000000000018,0.001064,0.0011066849574091796,4.268495740917958e-05
-3.050000000000018,0.001108,0.001144206831022629,3.6206831022628965e-05
-3.0400000000000182,0.001147,0.0011828907431043337,3.589074310433372e-05
-3.0300000000000185,0.001188,0.0012227686935921858,3.4768693592185764e-05
-3.0200000000000187,0.001228,0.0012638734276722212,3.587342767222127e-05
-3.010000000000019,0.001275,0.0013062384487693866,3.123844876938651e-05
-3.000000000000019,0.001314,0.0013498980316300094,3.5898031630009295e-05
-2.9900000000000193,0.001376,0.0013948872354921616,1.8887235492161562e-05
-2.9800000000000195,0.001422,0.0014412419173399221,1.9241917339922043e-05
-2.9700000000000197,0.001473,0.001488998745237369,1.5998745237369135e-05
-2.96000000000002,0.001519,0.001538195211737957,1.919521173795709e-05
-2.95000000000002,0.001582,0.0015888696473647633,6.8696473647632e-06
-2.9400000000000204,0.001634,0.001641061234156887,7.061234156887069e-06
-2.9300000000000206,0.001679,0.0016948100192771475,1.5810019277147586e-05
-2.920000000000021,0.00175,0.0017501569286759834,1.5692867598340703e-07
-2.910000000000021,0.001821,0.0018071437808063072,1.3856219193692735e-05
-2.9000000000000212,0.001892,0.001865813300383912,2.6186699616088027e-05
-2.8900000000000214,0.001963,0.001926209132187729,3.6790867812270915e-05
-2.8800000000000217,0.002028,0.0019883758548941873,3.9624145105812605e-05
-2.870000000000022,0.002084,0.0020523589949396114,3.164100506038853e-05
-2.860000000000022,0.002149,0.0021182050404044707,3.0794959595529126e-05
-2.8500000000000223,0.002226,0.0021859614549130865,4.003854508691359e-05
-2.8400000000000225,0.002299,0.002255676691542161,4.332330845783876e-05
-2.8300000000000227,0.002378,0.002327400206731385,5.059979326861499e-05
-2.820000000000023,0.002435,0.002401182474189078,3.3817525810921935e-05
-2.810000000000023,0.002518,0.0024770749987856823,4.0925001214317525e-05
-2.8000000000000234,0.002603,0.002555130330427746,4.786966957225384e-05
-2.7900000000000236,0.002678,0.0026354020779047606,4.259792209523926e-05
-2.780000000000024,0.002762,0.0027179449227010587,4.405507729894143e-05
-2.770000000000024,0.002848,0.00280281463276482,4.518536723517987e-05
-2.760000000000024,0.002936,0.00289006807622593,4.593192377406975e-05
-2.7500000000000244,0.003039,0.002979763235054332,5.9236764945667843e-05
-2.7400000000000246,0.00313,0.0030719592186502624,5.80407813497376e-05
-2.730000000000025,0.003243,0.003166716277357555,7.628372264244492e-05
-2.720000000000025,0.003335,0.003264095815891063,7.090418410893697e-05
-2.7100000000000253,0.003447,0.003364160406668936,8.283959333106388e-05
-2.7000000000000255,0.003547,0.0034669738030404006,8.00261969595992e-05
-2.6900000000000257,0.00366,0.003572600952399462,8.739904760053825e-05
-2.680000000000026,0.003763,0.003681108009174696,8.189199082530392e-05
-2.670000000000026,0.003896,0.0037925623476851933,0.00010343765231480683
-2.6600000000000263,0.004009,0.003907032574852471,0.00010196742514752971
-2.6500000000000266,0.004119,0.004024588542757989,9.441145724201159e-05
-2.6400000000000268,0.004243,0.004145301361035711,9.769863896428883e-05
-2.630000000000027,0.004398,0.004269243409089012,0.00012875659091098838
-2.620000000000027,0.004514,0.004396488348120961,0.00011751165187903843
-2.6100000000000274,0.004641,0.004527111132966959,0.0001138888670330412
-2.6000000000000276,0.004757,0.004661188023718374,9.581197628162619e-05
-2.590000000000028,0.004901,0.004798796597125789,0.00010220340287421092
-2.580000000000028,0.005027,0.004940015757770247,8.698424222975364e-05
-2.5700000000000283,0.005178,0.005084925748990623,9.307425100937763e-05
-2.5600000000000285,0.005325,0.005233608163555357,9.139183644464328e-05
-2.5500000000000287,0.005472,0.005386145954066243,8.585404593375746e-05
-2.540000000000029,0.005637,0.005542623443082142,9.43765569178575e-05
-2.530000000000029,0.005801,0.005703126332950217,9.787366704978265e-05
-2.5200000000000293,0.005977,0.005867741715332074,0.00010925828466792561
-2.5100000000000295,0.006139,0.006036558080412152,0.00010244191958784857
-2.5000000000000298,0.006336,0.006209665325775613,0.0001263346742243869
-2.49000000000003,0.006524,0.006387154764942635,0.0001368452350573651
-2.48000000000003,0.006694,0.006569119135546203,0.00012488086445379756
